بی حال و سست	کسل
صادر کردن	اکسپرت
اسباب و اثاثیه	باروبندیل
آموزش کارهای ناپسند	بداموزی
اجاره بها	کرایه
لوازم منزل	مان
ایزد و پروردگار	الله
بیماری زوال‌عقل	الزایمر
برآمدگی در بدن بر اثر ضربه	ورم
فرود آمدن و قرار گرفتن	وقوع
زینت ها و آرایش ها	تزیینات
از روی عقل کار نکردن	ندانمکاری
خلوت و گوشه نشینی	تنهایی
لبریز و لبالب	سرشار
فیلمی از عباس مرادیان	دلقکها
نت آخر	سی
دریاچه مرز کانادا	هیوران
بخشش و کرم	جود
پیشکار	عامل
نساج	جولاه
ابتدایى	اغازین
فرو شدن	غور
any body	هرکس
از شهرهای استان هرمزگان	بستک
کمک رساندن	مساعدت
بلندترین قله دنیا 	اورست
مخدر و روانگردان	افیون
مسئول ریل راه آهن	سوزنبان
جای خلوت	دنج
حرف ‌پیروزی	وی
آب هدر رفته	هرزاب
باغ و گلستان	بستان
مرکز استان فارس	شیراز
تاریکی شب	ظلام
مرد بزرگ شکم	اکتم
اندکی از چیزی	شمه
بیزار	متنفر
انباره برقی	اکومولاتور
از غذاهای ایرانی	اش
عصای معلولین	واکر
پول ضرب شده	مسکوک
راه عبور مسطح با شیب تند	رامپ
قرارگاه جوان	پاتوق
کندر رومی	رماس
علت و سبب	دلیل
شهر حرم امام حسین(ع)	کربلا
تخت پادشاهی	اورنگ
حالت سکون	ارامش
پسوند گرویدن	گرای
سرشت و نهاد	طینت
زغال سنگ نیمه مرغوب	لینیت
عید ویتنامی ها	تت
نام مبارک مادر امام جعفر صادق(ع)	امفروه
سردار انوشیروان	وهرز
ستودن	وصف
پرسش و سؤال	استفهام
زن دلیر و بی باک	شیرزن
تمیز کردن با آب	شستشو
از مراحل سلوک در عرفان بودایی	نیروانا
سوره 113 قرآن کریم	فلق
ندا دهنده	نادی
دولتمند و توانگر	مایهدار
بنای تاریخی ساوه	مسجدسرخ
اسلوب	روش
شل	شفت
معادل فارسی پورسانت	درصدانه
شب های قدر	احیا
در چای می‌ریزند	هل
باور و یقین	ایمان
مهاجم اسبق پرسپولیس	هاشمیان
ضمیر خارجی	یو
سازمان ها و موسسات	تشکیلات
ماده حیاتی میوه ها	ویتامین
پسوند آلودگی	الای
از اقمار مشتری	یو
climax	اوج
آخرین لایه اتمسفر	یونوسفر
نیروى یارى رسان	کمکی
10	اهلاک
رنسانس	نوزایی
عاطفه	احساس
پرنده ای لذیذ	کبک
پروژکتور	نورافکن
چادر	خیام
تصویر واضح در عکاسی	فوکوس
ستایشگر	مداح
درخشان	باهر
ریسمانی بافته شده از لیف خرما	مسد
گردن‌بند مروارید	هار
دشمنی و جنگ	نزاع
پرتیراژترین روزنامه ژاپن	اساهی
گواهان	عدله
مادر عاریتی	دایه
صباغی	رنگرزی
از شهرهای آذربایجان شرقی	هریس
سپید موی شاهنامه	زال
بی مانند و بی همتا	نادره
مغازه کوچک	دکه
نخستین سلسله چین	شانگ
kiss	بوس
لطافت و نرمی	نازکی
تیره	تار
هدیه چهره گشایی	رونما
ناز و کرشمه	غنج
دیوار قابل جابجایی	پاراوان
شانه و دوش	کتف
ترس و بیم	پروا
شهری و متمدنانه	مدنی
قبیله آتیلا	هون
سوره چهل و ششم قرآن	احقاف
از شرکت های خودرو سازی	مزدا
کنایه از داشتن آرزوهای بزرگ	بلندپروازی
jobholder	کارمند
بلند کردن	اعلا
زادگاه پدر شعر پارسي	رودک
درخت لرزان	بید
پیمان ناقلا!	ناتو
سلاح مار	نیش
دارای تعداد اندک	معدود
فیلمی از سونالاژ مارتن	رویلبه
پرنده‌ای از خانواده شاهین	کاراکارا
مصرف ریواس برای مبتلایان به آن خطرناک است	سنگکلیه
موافق	دمساز
کنایه از شرمنده شدن	ابشدن
فرهیخته و مؤدب	ادبیافته
درد و آزردگی جسمی	ناراحتی
مقراض	قیچی
مقابل ارزان	گران
پایتخت بحرین	هنانم
معادل فارسی چت روم	اتاقگفتگو
همنشین	منادم
قلم انگلیسی	پن
نوشتن و تحریر	نگارش
قسمت سقف دار مسجد	شبستان
ایالتی در آمریکا	مینهسوتا
هوشیار بودن	بیداری
دارای آهار	اهاردار
ژاپن قدیم	نارا
روزی و معشیت	رزق
فضیحت و بدنامی	رسوایی
ج ا	جا
ضامن و متعهد	کفیل
قوم وحشی تاریخ	بربر
پرچم و بیرق	درفش
بنام و سرشناس	نامی
منطقه ‌ای در شرق شهر توکیو	ادوگاوا
زخم زدن	جرح
شرم	حیا
رشته‌ای در شمشیربازی	اپه
از شرکت های خودروسازی بریتانیایی	مورگان
دفعه و مرتبه	بار
موریانه	دیوک
نمایشنامه معروف شكسپیر	هملت
رشته کوه کشورمان	زاگرس
فدراسیون فوتبال	فیفا
بازدید و رسیدگی	وارسی
دوستی	ولا
فرقه مذهبی آمریکا	مورمون
گله گوسفند	حشم
متحیر شدن	یکهخوردن
مال بعضی ها رنگ ندارد	حنا
اثری از ویلا کاتر	یکیازما
پسوند صفت ساز	ینه
استخوان	هات
سوار	راکب
برجستگی تایر	اج
پرز فرش	کرک
محاسن صورت، جراحت	ریش
دوری از وطن	غرابت
عامه مردم	رعیت
گریه و شیون	زاری
براده فلزات	سونش
پیشرو گله	بز
اثری از ایوان تورگنیف	مومو
خون بها	دیات
سرباز دریایی	ناوی
از آثار تاريخي استان البرز	کاخسلیمانیه
ناسپاس	ابکور
سجده کردن	سجود
چرک بدن	شوخ
مانوس شدن	اخت
صاحبخانه	موجر
دروازه بان	سنگربان
اقامتگاه سلاطین	دربار
آگهی	اعلان
از نام های زنانه	اقدس
رمانی از گوستاوفلوبر	سالامبو
تصویر بزرگان دینی	شمایل
زاد روز	میلاد
یاری رسان	امدادگر
نقابدار کارتونی	زورو
دندانه سوهان	اج
از فراعنه مصری	توتانخامن
شهر خانه خدا	مکه
برد تیر	تیررس
از اسامی بانوان	مهسا
پایان‌کار و سرانجام	عاقبت
از شهرهای افغانستان	قندهار
پاک و مطهر	تمیز
پختنی نانوا	نان
شیرجه	دایو
کاخ سلطنتی	دربار
پلنگ	نمر
با قصد قبلی	عامدانه
صدای ماکیان	قدقد
حرکتی در کاراته	کیکو
قطار تندرو	اکسپرس
14	اپ
از الحان قدیم ایرانی	تکاو
قسمت	سهم
موروثی	ارثی
ارث برنده	وارث
از انواع بستنی	کیمی
مایه خنده	مضحکه
از شهرهای کردستان	چناره
از نیروهای نظامی	دریایی
زخم بندی	پانسمان
جمع شاهد	شواهد
نقاش نامدار ایتالیایی	مانتینا
نوآوری و خلاقیت	ابتکار
کلام تعجب	په
سریالی از سهیلی‌زاده	دلنوازان
وسط شب	نیمهشب
ایالتی در آلمان	نیدرزاکسن
اضطراری	ضروری
آسایشگاهی در تهران	کهریزک
باز کردن	گشادن
گیاه شاه تره	هلیانه
کود پر مصرف	اوره
بی ریخت و زشت	اکبیری
حساسیت	الرژی
تیز پای شکارچی	یوز
همیشه و همواره	دایم
از صمیم قلب	تهدل
مثل و مانند	همتا
از شیوه‌های معماری ایرانی	پارسی
پاره ای از چیزی	تکه
از گیاهان دارویی	ریحانمقدس
رمز عملیات پیروزمندانه بیت المقدس	یاعلی
ادغام کننده	مدغم
خوب و نیکو	دخ
از هم پاشیده	متلاشی
بندر کشور پرو	کالایو
دفعه و نوبت	بار
سهل انگاری و بی‌قیدی	ولنگاری
ممنوع را گویند	غدغن
شبیه و مثل	همانند
صبور و شکیبا	بردبار
آرزوی روی دادن امری همراه با انتظار تحقق آن	امید
صومعه	دیر
شکست خورده	مغلوب
جانور وحشی	دد
پيمانه	صاع
46	مو
نوعی نی	جگن
فتنه	شر
خلاصی و نجات	رهیدن
سفت نیست	شل
از صور فلکی	جوزا
چوبدستی ساربان	ماهو
سنگینی و متانت	وقر
بستن	رتق
قرابت و خویشی	ولا
جوهر مرد	کار
سیاره‌ای که ما در آن هستیم	زمین
فرزند صالح	خلف
ترن مخفی	مترو
جوهر و عصاره گل	اسانس
مقابل حاشیه	متن
فیلمی از جف ترماین	پدربزرگبد
خلیجی در شمال شرقی اقیانوس هند	خلیجبنگال
فرستاده ویژه	ایلچی
بهبود یافتن	افاقه
شبگرد و نگهبان	میرشب
استوار	رصین
بانگ شغال	زوزه
از آثار تاریخی اصفهان	سیوسهپل
جرأت	یارا
بی تجربه و ناشی	ناازموده
از شهرهای بوشهر	دشتستان
ماهر و زبردست	چابکدست
غیر مسطح	ناهموار
واحد شمارش هواپیما	فروند
فشرده شده و له شده	مچاله
رخنه در کار	خلل
سر و سامان	نوا
دوستان خاموش	کتب
دردها	الام
از پیامبران	الیاس
آرزومندی	شوق
از شهرهای عربستان	مکه
گنگ و مبهم	نامفهوم
به هم ساییده شده	مماس
بهشت و فردوس	جنت
کلاه بردار	شیاد
فرق سر	هباک
برآورد کردن	تخمین
نهایی	غایی
زیارت کنندگان	زایرین
جامه ها و لباس ها	البسه
سختی و عذاب	وباله
دستگاه نمایش‌فیلم	اپارات
روکش روی‌ سفال	لعاب
ادب آموختگی	فرهیختگی
عقب و دنباله	متعاقب
از ایالت های آمریکایی	هندوراس
پهلوان و دلیر	نیرم
کفش اسب	نعل
خدای یکتا	ایزد
از حروف مقطعه قرآن	عسق
پول کرایه	اجارهبها
چوبه اعدام 	دار
هنگام و زمان	اثنا
دعوت شده	خوانده
گرفتن	اخذکردن
ترس	جبانت
پایتخت یونان	اتن
گلی بسیار خوشبو	گلمریم
پاکیزه گردانیدن	ازکا
نابود شدن	تلف
دور از شما	بلانسبت
سالم و قبراق	تندرست
کله	سر
کتاب شاعران	دیوان
پوست دباغی‌شده	جیر
الفت	خو
چشم ضعیف	کمسو
از دل پر درد برآید	اه
مشک آب	خی
گاهی به تیشه می‌زنند	ریشه
آدم آهنی	روبات
آلت نوازندگی	ساز
از کشورهای آسیای میانه	تاجیکستان
نوعی ساندویچ	هاتداگ
کشور اقیانوسیه	زلاندنو
حادثه غم انگیز	جگرسوز
چیزهای تازه	بدایع
باران تند و درشت	وابل
فارسی امروزی	دری
مهندس ساختمان	ارشیتکت
آزمند	حریص
باطراوت	سرسبز
میوه کال	نارس
مرتب، منسجم	مدون
یکی از القاب مبارک امام حسن عسکری(ع)	ابنالرضا
شهرت تیم هیوستون در NBA	راکتز
نزد و نزدیک	لدن
تیزهوش	فراس
هم نوعی صدف است و هم شتر نر	شنج
کاتب	نویسنده
خلیجی در ایتالیا	سالرن و
یک پنجم	خمس
فهمیدن	استدراک
از استان‌های کشور آلبانی	هاس
خرد و صغیر	کوچک
رنگ سفید مات	شیری
رفت و آمد	تردد
قطره	چکه
loan	وام
به خواب می رود	میخسبد
اذکار و اوراد	تسبیحات
دل ‌آزار کهنه	نو
معبد بت پرستان	بتخانه
